,,,translation,,,
#,name,category,en,fr,jp,ch
,,,,,,
,,,,,,
,,,,,,
100,,food,,,,
101,,food,,,,
102,french_fries,food,french_fries,frites,,
103,green_beans,food,green beans,haricots verts,,
104,spinash,food,spinash,épinards,,
105,pasta,food,pasta,pates,,
106,spaghetti_bolo,food,bolognese spaghetti,spaghetti bolognese,,
107,couscous,food,couscous,couscous,,
108,breaded_fish,food,breaded fish,poisson pané,,
109,smoked_salmon,food,smoked salmon,saumon fumé,,
110,fried_eggs,food,fried eggs,oeuf au plat,,
111,boiled_eggs,food,boiled eggs,oeuf a la coque,,
112,t_bone,food,t bone,cote de boeuf,,
113,fajitas,food,fajitas,fajitas,,
114,toasted_ham_cheese,food,toasted ham and cheese,croque monsieur,,
115,hamburger,food,hamburger,hamburger,,
116,,food,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,carrots,vegetable,carrots,carottes,,
121,tomato,vegetable,tomato,tomate,,
122,cucumber,vegetable,cucumber,concombre,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,banana,fruit,banana,banane,,
131,apple,fruit,apple,pomme,,
132,pear,fruit,pear,poire,,
133,strawberry,fruit,strawberry,fraise,,
134,cherry,fruit,cherry,cerise,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,chocolate_mousse,dessert,chocolate mousse,mousse au chocolat,,
141,apple_pie,dessert,apple_pie,tarte aux pommes,,
142,cake,dessert,cake,gateau,,
143,candies,dessert,candies,bonbons,,
144,ice_cream,dessert,ice cream,glace,,
145,brownies,dessert,brownies,gateau au chocolat,,
146,crepes,dessert,crepes,crêpes,,
147,lemon_pie,food,lemon pie,tarte aux citron,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,mint_water,drink,mint with water,menthe a l'eau,,
161,cola,drink,cola,cola,,
162,hot_chocolate,drink,hot chocolate,chocholat chaud,,
163,glass_water,drink,glass of water,verre d'eau,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,bread,food,bread,pain,,
171,chocolat,food,chocolat,chocolat,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
