Nom,specifities...,Les questions seront du type:,Quel est l'avion / hélicoptére ...,eg: Quel est l'avion le plus petit ?,eg: Quel est l'avion fabriqué au canada ?
,,,,,
,,,,,
A220,le plus petit,fabriqué au canada,,,
A320,qui existe en 3 tailles,vendu a plus de 10000 unités,assemblé à hambourg,,
A321-XLR,qui a le plus long range,le plus récent,,,
A330,le plus long courrier,fabriqué en aluminium,qui peut emporter plus de 300 voyageurs,assemblé seulement à toulouse,
A330-743L,,,,,
A330-MRTT,capable de ravitailler d'autres avions,hopital volant et transport de personnes,,,
A350,en carbone (composite),"le plus grand, fabriqué actuellement",qui a le meilleur fuel efficiency par passager,,
A380,le plus gros jamais fabriqué,fabriqué à 254 exemplaires,parmi ceux proposé qui a 4 réacteurs.,,
a400M,avion de transport militaire,assemblé a seville,,,
,,,,,
,,,,,
Eurofighter,qui est un chasseur,"fabriqué en angleterre, en espagne et en allemagne",qui a des ailes deltas,,
,,,,,
H145,de secours le plus utilisé au monde,,,,
H160,dernier né de chez airbus,,,,
H225,le plus gros,utilisé pour transporter du pétrole et du gaz,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
A340,ne pas le mettre (4 reacteurs aussi),,,,
