ndeg_auto;dep;nom;region_administrative;adresse;code_insee;commune;situation_geographique;ecrans;fauteuils;tranche_d_entrees;proprietaire;programmateur;categorie_art_et_essai;label_art_et_essai;genre;multiplexe;population_de_la_commune_2015;unite_urbaine_2010;population_unite_urbaine_2015;semaines_d_activite_2020;seances_2020;entrees_2020;entrees_2019;evolution_entrees_2020_2019;art_et_essai;nombre_de_films_programmes_2020;nombre_de_films_inedits_2020;nombre_de_films_en_semaine_1_2020;pdm_en_entrees_des_films_francais_2020;pdm_en_entrees_des_films_americains_2020;pdm_en_entrees_des_films_europeens_2020;pdm_en_entrees_des_autres_films_2020;films_art_et_essai_2020;part_des_seances_de_films_art_et_essai_2020;pdm_en_entrees_des_films_art_et_essai_2020;geo
12.0;75;UGC GEORGE V;ILE-DE-FRANCE;146 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;01-Paris;11;1666;De 80 à 100 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;OUI;36694.0;Paris;10706072.0;11.0;5033.0;81917.0;412142.0;-80.1240834469673;NON;79.0;44.0;39.0;37.98723097769694;46.459220918734815;13.965355176581173;1.5881929269870723;37.0;30.10133121398768;29.11117350488909;48.873073,2.298394
31.0;75;UGC NORMANDIE;ILE-DE-FRANCE;116 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;01-Paris;4;1610;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;NON;36694.0;Paris;10706072.0;31.0;3360.0;75648.0;202673.0;-62.6748506214444;NON;80.0;47.0;39.0;41.13592500689275;35.9746346843121;19.16322029225255;3.726220016542597;43.0;57.61904761904761;52.79432037496553;48.872265,2.300938
35.0;75;BALZAC;ILE-DE-FRANCE;1 RUE BALZAC;75108;Paris 8e Arrondissement;01-Paris;3;589;De 40 à 50 000 entrées;CINELBA;;A;RD;FIXE;NON;36694.0;Paris;10706072.0;29.0;2389.0;45293.0;118069.0;-61.638533399961034;OUI;102.0;43.0;28.0;61.03157613058603;3.964855945053965;19.594594594594593;15.408973329765411;76.0;82.79614901632483;81.26839710998127;48.872431,2.299525
54.0;75;GAUMONT CHAMPS ELYSEES MARIGNAN;ILE-DE-FRANCE;27/33 AVENUE DES CHAMPS ELYSEES;75108;Paris 8e Arrondissement;01-Paris;6;1597;De 80 à 100 000 entrées;LES CINEMAS PATHE GAUMONT;LES CINEMAS GAUMONT PATHE;NON;;FIXE;NON;36694.0;Paris;10706072.0;31.0;5341.0;80996.0;277795.0;-70.84324771864145;NON;99.0;65.0;61.0;24.273703699007086;59.36164546849441;14.711066587199939;1.653584245298571;24.0;23.609810896835796;22.008901964265334;48.869654,2.306873
55.0;75;ELYSEES LINCOLN;ILE-DE-FRANCE;14 RUE LINCOLN;75108;Paris 8e Arrondissement;01-Paris;3;448;De 10 à 20 000 entrées;STUDIO DU DRAGON;;A;RD;FIXE;NON;36694.0;Paris;10706072.0;29.0;2742.0;19379.0;49579.0;-60.91288650436677;OUI;75.0;59.0;53.0;48.828477020126165;5.617302493241214;26.364273555622308;19.18994693101031;61.0;88.65791393143691;87.62891759287074;48.870512,2.303157
204.0;75;UGC OPERA;ILE-DE-FRANCE;32 BD DES ITALIENS;75109;Paris 9e Arrondissement;01-Paris;4;760;De 50 à 80 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;NON;59408.0;Paris;10706072.0;31.0;3422.0;55232.0;178752.0;-69.10132474042248;NON;64.0;41.0;41.0;47.16468713789108;42.301564310544606;10.492106025492468;0.04164252607184241;33.0;49.21098772647575;53.342265353418306;48.871332,2.335302
301.0;75;MAX LINDER;ILE-DE-FRANCE;24 BD POISSONNIERE;75109;Paris 9e Arrondissement;01-Paris;1;591;De 30 à 40 000 entrées;PARAFRANCE COMMUNICATION;;A;;FIXE;NON;59408.0;Paris;10706072.0;31.0;852.0;37409.0;123832.0;-69.79052264358162;OUI;80.0;12.0;8.0;6.97058737962936;49.98399906903674;35.58607046228144;7.459343089052455;64.0;50.82159624413145;53.672940971111046;48.871363,2.344886
311.0;75;GRAND REX;ILE-DE-FRANCE;5 BD POISSONNIERE;75102;Paris 2e Arrondissement;01-Paris;7;4274;De 100 à 150 000 entrées;THEATRE LE REX;UGC DIFFUSION;NON;;FIXE;NON;20796.0;Paris;10706072.0;29.0;5026.0;148381.0;737247.0;-79.87363800734354;NON;246.0;56.0;52.0;16.35045170350965;55.859992167771736;17.088436660229835;10.701119468488784;81.0;12.833267011539991;16.470635895912388;48.86872,2.347608
321.0;75;PATHE;ILE-DE-FRANCE;32 RUE LOUIS LEGRAND;75102;Paris 2e Arrondissement;01-Paris;6;1138;De 100 à 150 000 entrées;GAUMONT;LES CINEMAS GAUMONT PATHE;NON;;FIXE;NON;20796.0;Paris;10706072.0;31.0;5355.0;123537.0;356071.0;-65.30551491135195;NON;90.0;63.0;59.0;36.76354225050279;37.66608420427945;22.71933005835614;2.851043486861627;47.0;51.42857142857142;47.889123339157955;48.870632,2.334338
451.0;75;UGC MONTPARNASSE;ILE-DE-FRANCE;83 BD DU MONTPARNASSE;75106;Paris 6e Arrondissement;01-Paris;7;1592;De 100 à 150 000 entrées;UGC SAS;UGC DIFFUSION;NON;;FIXE;NON;42428.0;Paris;10706072.0;31.0;6061.0;124223.0;409922.0;-69.69594215484898;NON;101.0;68.0;63.0;43.58109209453953;38.32192339038305;15.690301548492258;2.406682966585167;45.0;35.12621679590826;39.64221678891606;48.84351,2.325646
